Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
10894,301,97,2,3,3,7.88,1,0.44
10895,303,99,3,2,2.5,7.66,0,0.36
10896,304,100,4,1.5,2.5,7.84,0,0.42
10897,306,100,2,3,3,8,0,0.48
10898,331,120,3,4,4,8.96,1,0.86
10899,332,119,4,5,4.5,9.24,1,0.9
10900,323,113,3,4,4,8.88,1,0.79
10901,322,107,3,3.5,3.5,8.46,1,0.71
10902,312,105,2,2.5,3,8.12,0,0.64
10903,314,106,2,4,3.5,8.25,0,0.62
10904,317,104,2,4.5,4,8.47,0,0.57
10905,326,112,3,3.5,3,9.05,1,0.74
10906,316,110,3,4,4.5,8.78,1,0.69
10907,329,111,4,4.5,4.5,9.18,1,0.87
10908,338,117,4,3.5,4.5,9.46,1,0.91
10909,331,116,5,5,5,9.38,1,0.93
10910,304,103,5,5,4,8.64,0,0.68
10911,305,108,5,3,3,8.48,0,0.61
10912,321,109,4,4,4,8.68,1,0.69
10913,301,107,3,3.5,3.5,8.34,1,0.62
10914,320,110,2,4,3.5,8.56,0,0.72
10915,311,105,3,3.5,3,8.45,1,0.59
10916,310,106,4,4.5,4.5,9.04,1,0.66
10917,299,102,3,4,3.5,8.62,0,0.56
10918,290,104,4,2,2.5,7.46,0,0.45
10919,296,99,2,3,3.5,7.28,0,0.47
10920,327,104,5,3,3.5,8.84,1,0.71
10921,335,117,5,5,5,9.56,1,0.94
10922,334,119,5,4.5,4.5,9.48,1,0.94
10923,310,106,4,1.5,2.5,8.36,0,0.57
10924,308,108,3,3.5,3.5,8.22,0,0.61
10925,301,106,4,2.5,3,8.47,0,0.57
10926,300,100,3,2,3,8.66,1,0.64
10927,323,113,3,4,3,9.32,1,0.85
10928,319,112,3,2.5,2,8.71,1,0.78
10929,326,112,3,3.5,3,9.1,1,0.84
10930,333,118,5,5,5,9.35,1,0.92
10931,339,114,5,4,4.5,9.76,1,0.96
10932,303,105,5,5,4.5,8.65,0,0.77
10933,309,105,5,3.5,3.5,8.56,0,0.71
10934,323,112,5,4,4.5,8.78,0,0.79
10935,333,113,5,4,4,9.28,1,0.89
10936,314,109,4,3.5,4,8.77,1,0.82
10937,312,103,3,5,4,8.45,0,0.76
10938,316,100,2,1.5,3,8.16,1,0.71
10939,326,116,2,4.5,3,9.08,1,0.8
10940,318,109,1,3.5,3.5,9.12,0,0.78
10941,329,110,2,4,3,9.15,1,0.84
10942,332,118,2,4.5,3.5,9.36,1,0.9
10943,331,115,5,4,3.5,9.44,1,0.92
10944,340,120,4,4.5,4,9.92,1,0.97
10945,325,112,2,3,3.5,8.96,1,0.8
10946,320,113,2,2,2.5,8.64,1,0.81
10947,315,105,3,2,2.5,8.48,0,0.75
10948,326,114,3,3,3,9.11,1,0.83
10949,339,116,4,4,3.5,9.8,1,0.96
10950,311,106,2,3.5,3,8.26,1,0.79
10951,334,114,4,4,4,9.43,1,0.93
10952,332,116,5,5,5,9.28,1,0.94
10953,321,112,5,5,5,9.06,1,0.86
10954,324,105,3,3,4,8.75,0,0.79
10955,326,108,3,3,3.5,8.89,0,0.8
10956,312,109,3,3,3,8.69,0,0.77
10957,315,105,3,2,2.5,8.34,0,0.7
10958,309,104,2,2,2.5,8.26,0,0.65
10959,306,106,2,2,2.5,8.14,0,0.61
10960,297,100,1,1.5,2,7.9,0,0.52
10961,315,103,1,1.5,2,7.86,0,0.57
10962,298,99,1,1.5,3,7.46,0,0.53
10963,318,109,3,3,3,8.5,0,0.67
10964,317,105,3,3.5,3,8.56,0,0.68
10965,329,111,4,4.5,4,9.01,1,0.81
10966,322,110,5,4.5,4,8.97,0,0.78
10967,302,102,3,3.5,5,8.33,0,0.65
10968,313,102,3,2,3,8.27,0,0.64
10969,293,97,2,2,4,7.8,1,0.64
10970,311,99,2,2.5,3,7.98,0,0.65
10971,312,101,2,2.5,3.5,8.04,1,0.68
10972,334,117,5,4,4.5,9.07,1,0.89
10973,322,110,4,4,5,9.13,1,0.86
10974,323,113,4,4,4.5,9.23,1,0.89
10975,321,111,4,4,4,8.97,1,0.87
10976,320,111,4,4.5,3.5,8.87,1,0.85
10977,329,119,4,4.5,4.5,9.16,1,0.9
10978,319,110,3,3.5,3.5,9.04,0,0.82
10979,309,108,3,2.5,3,8.12,0,0.72
10980,307,102,3,3,3,8.27,0,0.73
10981,300,104,3,3.5,3,8.16,0,0.71
10982,305,107,2,2.5,2.5,8.42,0,0.71
10983,299,100,2,3,3.5,7.88,0,0.68
10984,314,110,3,4,4,8.8,0,0.75
10985,316,106,2,2.5,4,8.32,0,0.72
10986,327,113,4,4.5,4.5,9.11,1,0.89
10987,317,107,3,3.5,3,8.68,1,0.84
10988,335,118,5,4.5,3.5,9.44,1,0.93
10989,331,115,5,4.5,3.5,9.36,1,0.93
10990,324,112,5,5,5,9.08,1,0.88
10991,324,111,5,4.5,4,9.16,1,0.9
10992,323,110,5,4,5,8.98,1,0.87
10993,322,114,5,4.5,4,8.94,1,0.86
10994,336,118,5,4.5,5,9.53,1,0.94
10995,316,109,3,3.5,3,8.76,0,0.77
10996,307,107,2,3,3.5,8.52,1,0.78
10997,306,105,2,3,2.5,8.26,0,0.73
10998,310,106,2,3.5,2.5,8.33,0,0.73
10999,311,104,3,4.5,4.5,8.43,0,0.7
11000,313,107,3,4,4.5,8.69,0,0.72
11001,317,103,3,2.5,3,8.54,1,0.73
11002,315,110,2,3.5,3,8.46,1,0.72
11003,340,120,5,4.5,4.5,9.91,1,0.97
11004,334,120,5,4,5,9.87,1,0.97
11005,298,105,3,3.5,4,8.54,0,0.69
11006,295,99,2,2.5,3,7.65,0,0.57
11007,315,99,2,3.5,3,7.89,0,0.63
11008,310,102,3,3.5,4,8.02,1,0.66
11009,305,106,2,3,3,8.16,0,0.64
11010,301,104,3,3.5,4,8.12,1,0.68
11011,325,108,4,4.5,4,9.06,1,0.79
11012,328,110,4,5,4,9.14,1,0.82
11013,338,120,4,5,5,9.66,1,0.95
11014,333,119,5,5,4.5,9.78,1,0.96
11015,331,117,4,4.5,5,9.42,1,0.94
11016,330,116,5,5,4.5,9.36,1,0.93
11017,322,112,4,4.5,4.5,9.26,1,0.91
11018,321,109,4,4,4,9.13,1,0.85
11019,324,110,4,3,3.5,8.97,1,0.84
11020,312,104,3,3.5,3.5,8.42,0,0.74
11021,313,103,3,4,4,8.75,0,0.76
11022,316,110,3,3.5,4,8.56,0,0.75
11023,324,113,4,4.5,4,8.79,0,0.76
11024,308,109,2,3,4,8.45,0,0.71
11025,305,105,2,3,2,8.23,0,0.67
11026,296,99,2,2.5,2.5,8.03,0,0.61
11027,306,110,2,3.5,4,8.45,0,0.63
11028,312,110,2,3.5,3,8.53,0,0.64
11029,318,112,3,4,3.5,8.67,0,0.71
11030,324,111,4,3,3,9.01,1,0.82
11031,313,104,3,4,4.5,8.65,0,0.73
11032,319,106,3,3.5,2.5,8.33,1,0.74
11033,312,107,2,2.5,3.5,8.27,0,0.69
11034,304,100,2,2.5,3.5,8.07,0,0.64
11035,330,113,5,5,4,9.31,1,0.91
11036,326,111,5,4.5,4,9.23,1,0.88
11037,325,112,4,4,4.5,9.17,1,0.85
11038,329,114,5,4.5,5,9.19,1,0.86
11039,310,104,3,2,3.5,8.37,0,0.7
11040,299,100,1,1.5,2,7.89,0,0.59
11041,296,101,1,2.5,3,7.68,0,0.6
11042,317,103,2,2.5,2,8.15,0,0.65
11043,324,115,3,3.5,3,8.76,1,0.7
11044,325,114,3,3.5,3,9.04,1,0.76
11045,314,107,2,2.5,4,8.56,0,0.63
11046,328,110,4,4,2.5,9.02,1,0.81
11047,316,105,3,3,3.5,8.73,0,0.72
11048,311,104,2,2.5,3.5,8.48,0,0.71
11049,324,110,3,3.5,4,8.87,1,0.8
11050,321,111,3,3.5,4,8.83,1,0.77
11051,320,104,3,3,2.5,8.57,1,0.74
11052,316,99,2,2.5,3,9,0,0.7
11053,318,100,2,2.5,3.5,8.54,1,0.71
11054,335,115,4,4.5,4.5,9.68,1,0.93
11055,321,114,4,4,5,9.12,0,0.85
11056,307,110,4,4,4.5,8.37,0,0.79
11057,309,99,3,4,4,8.56,0,0.76
11058,324,100,3,4,5,8.64,1,0.78
11059,326,102,4,5,5,8.76,1,0.77
11060,331,119,4,5,4.5,9.34,1,0.9
11061,327,108,5,5,3.5,9.13,1,0.87
11062,312,104,3,3.5,4,8.09,0,0.71
11063,308,103,2,2.5,4,8.36,1,0.7
11064,324,111,3,2.5,1.5,8.79,1,0.7
11065,325,110,2,3,2.5,8.76,1,0.75
11066,313,102,3,2.5,2.5,8.68,0,0.71
11067,312,105,2,2,2.5,8.45,0,0.72
11068,314,107,3,3,3.5,8.17,1,0.73
11069,327,113,4,4.5,5,9.14,0,0.83
11070,308,108,4,4.5,5,8.34,0,0.77
11071,306,105,2,2.5,3,8.22,1,0.72
11072,299,96,2,1.5,2,7.86,0,0.54
11073,294,95,1,1.5,1.5,7.64,0,0.49
11074,312,99,1,1,1.5,8.01,1,0.52
11075,315,100,1,2,2.5,7.95,0,0.58
11076,322,110,3,3.5,3,8.96,1,0.78
11077,329,113,5,5,4.5,9.45,1,0.89
11078,320,101,2,2.5,3,8.62,0,0.7
11079,308,103,2,3,3.5,8.49,0,0.66
11080,304,102,2,3,4,8.73,0,0.67
11081,311,102,3,4.5,4,8.64,1,0.68
11082,317,110,3,4,4.5,9.11,1,0.8
11083,312,106,3,4,3.5,8.79,1,0.81
11084,321,111,3,2.5,3,8.9,1,0.8
11085,340,112,4,5,4.5,9.66,1,0.94
11086,331,116,5,4,4,9.26,1,0.93
11087,336,118,5,4.5,4,9.19,1,0.92
11088,324,114,5,5,4.5,9.08,1,0.89
11089,314,104,4,5,5,9.02,0,0.82
11090,313,109,3,4,3.5,9,0,0.79
11091,307,105,2,2.5,3,7.65,0,0.58
11092,300,102,2,1.5,2,7.87,0,0.56
11093,302,99,2,1,2,7.97,0,0.56
11094,312,98,1,3.5,3,8.18,1,0.64
11095,316,101,2,2.5,2,8.32,1,0.61
11096,317,100,2,3,2.5,8.57,0,0.68
11097,310,107,3,3.5,3.5,8.67,0,0.76
11098,320,120,3,4,4.5,9.11,0,0.86
11099,330,114,3,4.5,4.5,9.24,1,0.9
11100,305,112,3,3,3.5,8.65,0,0.71
11101,309,106,2,2.5,2.5,8,0,0.62
11102,319,108,2,2.5,3,8.76,0,0.66
11103,322,105,2,3,3,8.45,1,0.65
11104,323,107,3,3.5,3.5,8.55,1,0.73
11105,313,106,2,2.5,2,8.43,0,0.62
11106,321,109,3,3.5,3.5,8.8,1,0.74
11107,323,110,3,4,3.5,9.1,1,0.79
11108,325,112,4,4,4,9,1,0.8
11109,312,108,3,3.5,3,8.53,0,0.69
11110,308,110,4,3.5,3,8.6,0,0.7
11111,320,104,3,3,3.5,8.74,1,0.76
11112,328,108,4,4.5,4,9.18,1,0.84
11113,311,107,4,4.5,4.5,9,1,0.78
11114,301,100,3,3.5,3,8.04,0,0.67
11115,305,105,2,3,4,8.13,0,0.66
11116,308,104,2,2.5,3,8.07,0,0.65
11117,298,101,2,1.5,2,7.86,0,0.54
11118,300,99,1,1,2.5,8.01,0,0.58
11119,324,111,3,2.5,2,8.8,1,0.79
11120,327,113,4,3.5,3,8.69,1,0.8
11121,317,106,3,4,3.5,8.5,1,0.75
11122,323,104,3,4,4,8.44,1,0.73
11123,314,107,2,2.5,4,8.27,0,0.72
11124,305,102,2,2,2.5,8.18,0,0.62
11125,315,104,3,3,2.5,8.33,0,0.67
11126,326,116,3,3.5,4,9.14,1,0.81
11127,299,100,3,2,2,8.02,0,0.63
11128,295,101,2,2.5,2,7.86,0,0.69
11129,324,112,4,4,3.5,8.77,1,0.8
11130,297,96,2,2.5,1.5,7.89,0,0.43
11131,327,113,3,3.5,3,8.66,1,0.8
11132,311,105,2,3,2,8.12,1,0.73
11133,308,106,3,3.5,2.5,8.21,1,0.75
11134,319,108,3,3,3.5,8.54,1,0.71
11135,312,107,4,4.5,4,8.65,1,0.73
11136,325,111,4,4,4.5,9.11,1,0.83
11137,319,110,3,3,2.5,8.79,0,0.72
11138,332,118,5,5,5,9.47,1,0.94
11139,323,108,5,4,4,8.74,1,0.81
11140,324,107,5,3.5,4,8.66,1,0.81
11141,312,107,3,3,3,8.46,1,0.75
11142,326,110,3,3.5,3.5,8.76,1,0.79
11143,308,106,3,3,3,8.24,0,0.58
11144,305,103,2,2.5,3.5,8.13,0,0.59
11145,295,96,2,1.5,2,7.34,0,0.47
11146,316,98,1,1.5,2,7.43,0,0.49
11147,304,97,2,1.5,2,7.64,0,0.47
11148,299,94,1,1,1,7.34,0,0.42
11149,302,99,1,2,2,7.25,0,0.57
11150,313,101,3,2.5,3,8.04,0,0.62
11151,318,107,3,3,3.5,8.27,1,0.74
11152,325,110,4,3.5,4,8.67,1,0.73
11153,303,100,2,3,3.5,8.06,1,0.64
11154,300,102,3,3.5,2.5,8.17,0,0.63
11155,297,98,2,2.5,3,7.67,0,0.59
11156,317,106,2,2,3.5,8.12,0,0.73
11157,327,109,3,3.5,4,8.77,1,0.79
11158,301,104,2,3.5,3.5,7.89,1,0.68
11159,314,105,2,2.5,2,7.64,0,0.7
11160,321,107,2,2,1.5,8.44,0,0.81
11161,322,110,3,4,5,8.64,1,0.85
11162,334,116,4,4,3.5,9.54,1,0.93
11163,338,115,5,4.5,5,9.23,1,0.91
11164,306,103,2,2.5,3,8.36,0,0.69
11165,313,102,3,3.5,4,8.9,1,0.77
11166,330,114,4,4.5,3,9.17,1,0.86
11167,320,104,3,3.5,4.5,8.34,1,0.74
11168,311,98,1,1,2.5,7.46,0,0.57
11169,298,92,1,2,2,7.88,0,0.51
11170,301,98,1,2,3,8.03,1,0.67
11171,310,103,2,2.5,2.5,8.24,0,0.72
11172,324,110,3,3.5,3,9.22,1,0.89
11173,336,119,4,4.5,4,9.62,1,0.95
11174,321,109,3,3,3,8.54,1,0.79
11175,315,105,2,2,2.5,7.65,0,0.39
11176,304,101,2,2,2.5,7.66,0,0.38
11177,297,96,2,2.5,2,7.43,0,0.34
11178,290,100,1,1.5,2,7.56,0,0.47
11179,303,98,1,2,2.5,7.65,0,0.56
11180,311,99,1,2.5,3,8.43,1,0.71
11181,322,104,3,3.5,4,8.84,1,0.78
11182,319,105,3,3,3.5,8.67,1,0.73
11183,324,110,4,4.5,4,9.15,1,0.82
11184,300,100,3,3,3.5,8.26,0,0.62
11185,340,113,4,5,5,9.74,1,0.96
11186,335,117,5,5,5,9.82,1,0.96
11187,302,101,2,2.5,3.5,7.96,0,0.46
11188,307,105,2,2,3.5,8.1,0,0.53
11189,296,97,2,1.5,2,7.8,0,0.49
11190,320,108,3,3.5,4,8.44,1,0.76
11191,314,102,2,2,2.5,8.24,0,0.64
11192,318,106,3,2,3,8.65,0,0.71
11193,326,112,4,4,3.5,9.12,1,0.84
11194,317,104,2,3,3,8.76,0,0.77
11195,329,111,4,4.5,4,9.23,1,0.89
11196,324,110,3,3.5,3.5,9.04,1,0.82
11197,325,107,3,3,3.5,9.11,1,0.84
11198,330,116,4,5,4.5,9.45,1,0.91
11199,312,103,3,3.5,4,8.78,0,0.67
11200,333,117,4,5,4,9.66,1,0.95
11201,337,118,4,4.5,4.5,9.65,1,0.92
11202,324,107,4,4,4.5,8.87,1,0.76
11203,316,104,3,3,3.5,8,1,0.72
11204,322,110,3,3.5,2.5,8.67,1,0.8
11205,314,103,2,2,3,8.21,0,0.65
11206,330,115,5,4.5,3,9.34,1,0.9
11207,321,109,3,3,4,8.2,1,0.75
11208,308,101,2,3,4,7.9,0,0.68
11209,302,102,1,2,1.5,8,0,0.5
11210,323,108,3,3.5,3,8.6,0,0.45
11211,325,106,3,3.5,4,8.4,1,0.52
11212,327,111,4,4,4.5,9,1,0.84
11213,328,112,4,4,4.5,9.1,1,0.78
11214,307,109,3,4,3,8,1,0.62
11215,311,104,3,3.5,2,8.2,1,0.61
11216,314,105,3,3.5,2.5,8.3,0,0.54
11217,317,107,3,4,3,8.7,0,0.66
11218,319,106,3,4,3,8,1,0.65
11219,318,110,3,4,3,8.8,0,0.63
11220,303,102,3,3.5,3,8.5,0,0.62
11221,312,107,3,3,2,7.9,1,0.64
11222,325,114,4,3,2,8.4,0,0.7
11223,328,116,5,5,5,9.5,1,0.94
11224,334,119,5,5,4.5,9.7,1,0.95
11225,336,119,5,4,3.5,9.8,1,0.97
11226,340,120,5,4.5,4.5,9.6,1,0.94
11227,322,109,5,4.5,3.5,8.8,0,0.76
11228,298,98,2,1.5,2.5,7.5,1,0.44
11229,295,93,1,2,2,7.2,0,0.46
11230,310,99,2,1.5,2,7.3,0,0.54
11231,300,97,2,3,3,8.1,1,0.65
11232,327,103,3,4,4,8.3,1,0.74
11233,338,118,4,3,4.5,9.4,1,0.91
11234,340,114,5,4,4,9.6,1,0.9
11235,331,112,5,4,5,9.8,1,0.94
11236,320,110,5,5,5,9.2,1,0.88
11237,299,106,2,4,4,8.4,0,0.64
11238,300,105,1,1,2,7.8,0,0.58
11239,304,105,1,3,1.5,7.5,0,0.52
11240,307,108,2,4,3.5,7.7,0,0.48
11241,308,110,3,3.5,3,8,1,0.46
11242,316,105,2,2.5,2.5,8.2,1,0.49
11243,313,107,2,2.5,2,8.5,1,0.53
11244,332,117,4,4.5,4,9.1,0,0.87
11245,326,113,5,4.5,4,9.4,1,0.91
11246,322,110,5,5,4,9.1,1,0.88
11247,329,114,5,4,5,9.3,1,0.86
11248,339,119,5,4.5,4,9.7,0,0.89
11249,321,110,3,3.5,5,8.85,1,0.82
11250,327,111,4,3,4,8.4,1,0.78
11251,313,98,3,2.5,4.5,8.3,1,0.76
11252,312,100,2,1.5,3.5,7.9,1,0.56
11253,334,116,4,4,3,8,1,0.78
11254,324,112,4,4,2.5,8.1,1,0.72
11255,322,110,3,3,3.5,8,0,0.7
11256,320,103,3,3,3,7.7,0,0.64
11257,316,102,3,2,3,7.4,0,0.64
11258,298,99,2,4,2,7.6,0,0.46
11259,300,99,1,3,2,6.8,1,0.36
11260,311,104,2,2,2,8.3,0,0.42
11261,309,100,2,3,3,8.1,0,0.48
11262,307,101,3,4,3,8.2,0,0.47
11263,304,105,2,3,3,8.2,1,0.54
11264,315,107,2,4,3,8.5,1,0.56
11265,325,111,3,3,3.5,8.7,0,0.52
11266,325,112,4,3.5,3.5,8.92,0,0.55
11267,327,114,3,3,3,9.02,0,0.61
11268,316,107,2,3.5,3.5,8.64,1,0.57
11269,318,109,3,3.5,4,9.22,1,0.68
11270,328,115,4,4.5,4,9.16,1,0.78
11271,332,118,5,5,5,9.64,1,0.94
11272,336,112,5,5,5,9.76,1,0.96
11273,321,111,5,5,5,9.45,1,0.93
11274,314,108,4,4.5,4,9.04,1,0.84
11275,314,106,3,3,5,8.9,0,0.74
11276,329,114,2,2,4,8.56,1,0.72
11277,327,112,3,3,3,8.72,1,0.74
11278,301,99,2,3,2,8.22,0,0.64
11279,296,95,2,3,2,7.54,1,0.44
11280,294,93,1,1.5,2,7.36,0,0.46
11281,312,105,3,2,3,8.02,1,0.5
11282,340,120,4,5,5,9.5,1,0.96
11283,320,110,5,5,4.5,9.22,1,0.92
11284,322,115,5,4,4.5,9.36,1,0.92
11285,340,115,5,4.5,4.5,9.45,1,0.94
11286,319,103,4,4.5,3.5,8.66,0,0.76
11287,315,106,3,4.5,3.5,8.42,0,0.72
11288,317,107,2,3.5,3,8.28,0,0.66
11289,314,108,3,4.5,3.5,8.14,0,0.64
11290,316,109,4,4.5,3.5,8.76,1,0.74
11291,318,106,2,4,4,7.92,1,0.64
11292,299,97,3,5,3.5,7.66,0,0.38
11293,298,98,2,4,3,8.03,0,0.34
11294,301,97,2,3,3,7.88,1,0.44
11295,303,99,3,2,2.5,7.66,0,0.36
11296,304,100,4,1.5,2.5,7.84,0,0.42
11297,306,100,2,3,3,8,0,0.48
11298,331,120,3,4,4,8.96,1,0.86
11299,332,119,4,5,4.5,9.24,1,0.9
11300,323,113,3,4,4,8.88,1,0.79
11301,322,107,3,3.5,3.5,8.46,1,0.71
11302,312,105,2,2.5,3,8.12,0,0.64
11303,314,106,2,4,3.5,8.25,0,0.62
11304,317,104,2,4.5,4,8.47,0,0.57
11305,326,112,3,3.5,3,9.05,1,0.74
11306,316,110,3,4,4.5,8.78,1,0.69
11307,329,111,4,4.5,4.5,9.18,1,0.87
11308,338,117,4,3.5,4.5,9.46,1,0.91
11309,331,116,5,5,5,9.38,1,0.93
11310,304,103,5,5,4,8.64,0,0.68
11311,305,108,5,3,3,8.48,0,0.61
11312,321,109,4,4,4,8.68,1,0.69
11313,301,107,3,3.5,3.5,8.34,1,0.62
11314,320,110,2,4,3.5,8.56,0,0.72
11315,311,105,3,3.5,3,8.45,1,0.59
11316,310,106,4,4.5,4.5,9.04,1,0.66
11317,299,102,3,4,3.5,8.62,0,0.56
11318,290,104,4,2,2.5,7.46,0,0.45
11319,296,99,2,3,3.5,7.28,0,0.47
11320,327,104,5,3,3.5,8.84,1,0.71
11321,335,117,5,5,5,9.56,1,0.94
11322,334,119,5,4.5,4.5,9.48,1,0.94
11323,310,106,4,1.5,2.5,8.36,0,0.57
11324,308,108,3,3.5,3.5,8.22,0,0.61
11325,301,106,4,2.5,3,8.47,0,0.57
11326,300,100,3,2,3,8.66,1,0.64
11327,323,113,3,4,3,9.32,1,0.85
11328,319,112,3,2.5,2,8.71,1,0.78
11329,326,112,3,3.5,3,9.1,1,0.84
11330,333,118,5,5,5,9.35,1,0.92
11331,339,114,5,4,4.5,9.76,1,0.96
11332,303,105,5,5,4.5,8.65,0,0.77
11333,309,105,5,3.5,3.5,8.56,0,0.71
11334,323,112,5,4,4.5,8.78,0,0.79
11335,333,113,5,4,4,9.28,1,0.89
11336,314,109,4,3.5,4,8.77,1,0.82
11337,312,103,3,5,4,8.45,0,0.76
11338,316,100,2,1.5,3,8.16,1,0.71
11339,326,116,2,4.5,3,9.08,1,0.8
11340,318,109,1,3.5,3.5,9.12,0,0.78
11341,329,110,2,4,3,9.15,1,0.84
11342,332,118,2,4.5,3.5,9.36,1,0.9
11343,331,115,5,4,3.5,9.44,1,0.92
11344,340,120,4,4.5,4,9.92,1,0.97
11345,325,112,2,3,3.5,8.96,1,0.8
11346,320,113,2,2,2.5,8.64,1,0.81
11347,315,105,3,2,2.5,8.48,0,0.75
11348,326,114,3,3,3,9.11,1,0.83
11349,339,116,4,4,3.5,9.8,1,0.96
11350,311,106,2,3.5,3,8.26,1,0.79
11351,334,114,4,4,4,9.43,1,0.93
11352,332,116,5,5,5,9.28,1,0.94
11353,321,112,5,5,5,9.06,1,0.86
11354,324,105,3,3,4,8.75,0,0.79
11355,326,108,3,3,3.5,8.89,0,0.8
11356,312,109,3,3,3,8.69,0,0.77
11357,315,105,3,2,2.5,8.34,0,0.7
11358,309,104,2,2,2.5,8.26,0,0.65
11359,306,106,2,2,2.5,8.14,0,0.61
11360,297,100,1,1.5,2,7.9,0,0.52
11361,315,103,1,1.5,2,7.86,0,0.57
11362,298,99,1,1.5,3,7.46,0,0.53
11363,318,109,3,3,3,8.5,0,0.67
11364,317,105,3,3.5,3,8.56,0,0.68
11365,329,111,4,4.5,4,9.01,1,0.81
11366,322,110,5,4.5,4,8.97,0,0.78
11367,302,102,3,3.5,5,8.33,0,0.65
11368,313,102,3,2,3,8.27,0,0.64
11369,293,97,2,2,4,7.8,1,0.64
11370,311,99,2,2.5,3,7.98,0,0.65
11371,312,101,2,2.5,3.5,8.04,1,0.68
11372,334,117,5,4,4.5,9.07,1,0.89
11373,322,110,4,4,5,9.13,1,0.86
11374,323,113,4,4,4.5,9.23,1,0.89
11375,321,111,4,4,4,8.97,1,0.87
11376,320,111,4,4.5,3.5,8.87,1,0.85
11377,329,119,4,4.5,4.5,9.16,1,0.9
11378,319,110,3,3.5,3.5,9.04,0,0.82
11379,309,108,3,2.5,3,8.12,0,0.72
11380,307,102,3,3,3,8.27,0,0.73
11381,300,104,3,3.5,3,8.16,0,0.71
11382,305,107,2,2.5,2.5,8.42,0,0.71
11383,299,100,2,3,3.5,7.88,0,0.68
11384,314,110,3,4,4,8.8,0,0.75
11385,316,106,2,2.5,4,8.32,0,0.72
11386,327,113,4,4.5,4.5,9.11,1,0.89
11387,317,107,3,3.5,3,8.68,1,0.84
11388,335,118,5,4.5,3.5,9.44,1,0.93
11389,331,115,5,4.5,3.5,9.36,1,0.93
11390,324,112,5,5,5,9.08,1,0.88
11391,324,111,5,4.5,4,9.16,1,0.9
11392,323,110,5,4,5,8.98,1,0.87
11393,322,114,5,4.5,4,8.94,1,0.86
11394,336,118,5,4.5,5,9.53,1,0.94
11395,316,109,3,3.5,3,8.76,0,0.77
11396,307,107,2,3,3.5,8.52,1,0.78
11397,306,105,2,3,2.5,8.26,0,0.73
11398,310,106,2,3.5,2.5,8.33,0,0.73
11399,311,104,3,4.5,4.5,8.43,0,0.7
11400,313,107,3,4,4.5,8.69,0,0.72
11401,317,103,3,2.5,3,8.54,1,0.73
11402,315,110,2,3.5,3,8.46,1,0.72
11403,340,120,5,4.5,4.5,9.91,1,0.97
11404,334,120,5,4,5,9.87,1,0.97
11405,298,105,3,3.5,4,8.54,0,0.69
11406,295,99,2,2.5,3,7.65,0,0.57
11407,315,99,2,3.5,3,7.89,0,0.63
11408,310,102,3,3.5,4,8.02,1,0.66
11409,305,106,2,3,3,8.16,0,0.64
11410,301,104,3,3.5,4,8.12,1,0.68
11411,325,108,4,4.5,4,9.06,1,0.79
11412,328,110,4,5,4,9.14,1,0.82
11413,338,120,4,5,5,9.66,1,0.95
11414,333,119,5,5,4.5,9.78,1,0.96
11415,331,117,4,4.5,5,9.42,1,0.94
11416,330,116,5,5,4.5,9.36,1,0.93
11417,322,112,4,4.5,4.5,9.26,1,0.91
11418,321,109,4,4,4,9.13,1,0.85
11419,324,110,4,3,3.5,8.97,1,0.84
11420,312,104,3,3.5,3.5,8.42,0,0.74
11421,313,103,3,4,4,8.75,0,0.76
11422,316,110,3,3.5,4,8.56,0,0.75
11423,324,113,4,4.5,4,8.79,0,0.76
11424,308,109,2,3,4,8.45,0,0.71
11425,305,105,2,3,2,8.23,0,0.67
11426,296,99,2,2.5,2.5,8.03,0,0.61
11427,306,110,2,3.5,4,8.45,0,0.63
11428,312,110,2,3.5,3,8.53,0,0.64
11429,318,112,3,4,3.5,8.67,0,0.71
11430,324,111,4,3,3,9.01,1,0.82
11431,313,104,3,4,4.5,8.65,0,0.73
11432,319,106,3,3.5,2.5,8.33,1,0.74
11433,312,107,2,2.5,3.5,8.27,0,0.69
11434,304,100,2,2.5,3.5,8.07,0,0.64
11435,330,113,5,5,4,9.31,1,0.91
11436,326,111,5,4.5,4,9.23,1,0.88
11437,325,112,4,4,4.5,9.17,1,0.85
11438,329,114,5,4.5,5,9.19,1,0.86
11439,310,104,3,2,3.5,8.37,0,0.7
11440,299,100,1,1.5,2,7.89,0,0.59
11441,296,101,1,2.5,3,7.68,0,0.6
11442,317,103,2,2.5,2,8.15,0,0.65
11443,324,115,3,3.5,3,8.76,1,0.7
11444,325,114,3,3.5,3,9.04,1,0.76
11445,314,107,2,2.5,4,8.56,0,0.63
11446,328,110,4,4,2.5,9.02,1,0.81
11447,316,105,3,3,3.5,8.73,0,0.72
11448,311,104,2,2.5,3.5,8.48,0,0.71
11449,324,110,3,3.5,4,8.87,1,0.8
11450,321,111,3,3.5,4,8.83,1,0.77
11451,320,104,3,3,2.5,8.57,1,0.74
11452,316,99,2,2.5,3,9,0,0.7
11453,318,100,2,2.5,3.5,8.54,1,0.71
11454,335,115,4,4.5,4.5,9.68,1,0.93
11455,321,114,4,4,5,9.12,0,0.85
11456,307,110,4,4,4.5,8.37,0,0.79
